UniqueCount	AmbigCount
0	11
0	0
0	276
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	53
0	1
0	2
0	5
0	0
0	41
2	0
0	18
0	10
0	15
74	9
0	9
0	43
0	7
0	0
0	17
0	0
0	0
0	0
1	299
0	64
0	70
0	67
0	74
0	54
22	31
0	0
0	25
0	0
0	0
0	0
0	0
0	6
0	0
0	2
0	5
2	18
0	2
0	0
1	10
0	194
0	123
0	124
0	115
0	55
0	54
1	17
0	72
0	55
0	22
0	24
0	8
0	6
0	9
0	29
1	7
0	0
0	0
0	0
0	50
0	0
0	0
0	2
7	0
0	0
2	10
0	0
0	0
0	10
0	2
0	0
0	4
0	4
0	2
0	1
0	0
0	0
4	12692
72	127060
1	190038
13	0
1	48632
1	86
253	145350
0	28534
0	0
0	0
2	569
0	4
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	11
0	2
12	1
0	9
0	9
0	1
0	1
0	1
0	1
0	2
0	2
0	2
0	2
0	1
0	1
0	46
0	1
2	1
0	0
3	0
0	0
0	0
0	0
0	0
27	99
14	29
0	131
3	3
0	100
0	12
0	105
0	23
0	37
0	3
0	8
0	4
0	0
0	42
0	78
0	2
0	6
0	44
0	4
0	46
0	4
0	0
0	22
0	4
1	0
16	5
0	0
0	0
0	4
0	4
0	4
0	0
0	0
0	0
8	2
0	1
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	1
0	0
0	0
0	0
0	0
69	1491
1	997
56	1500
0	0
2	328
17	18
11	38
0	42
6	18
1	4
4	0
54	87
5	58
2	81
0	0
0	10
0	2
0	2
0	2
3	0
1	7
1	6
8	4
0	0
1	27
0	18
17	27
0	0
0	0
0	1956
0	1844
0	1648
0	1760
0	3
21	99
4	115
1	7
28	15
354	803
0	29
0	14
0	14
0	14
0	0
0	12
0	6
0	0
16	0
0	33
0	26
0	33
0	32
5	25
0	33
0	36
0	4
1	20
0	9
0	10
0	10
0	4
0	2
0	3
0	2
0	2
0	2
0	0
0	2
0	0
0	0
0	0
0	0
22	0
1	2
0	0
0	0
2	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1220
0	1056
0	1051
0	1001
22	490
4	277
1	652
0	290
146	0
0	0
1	0
1	0
0	0
0	0
1	0
0	188
0	216
0	185
0	157
0	157
0	180
0	154
1	42
0	151
0	143
0	73
0	51
0	55
0	28
0	22
0	5
0	3
0	24
3	10
5	1
0	0
3	0
0	5
0	5
1	5
0	5
0	3
0	6
0	0
0	2
9	206
1	214
4	138
0	96
0	7
0	7
1	13
0	4
17	49
0	32
5	18
0	15
0	0
0	0
0	51
1	7
0	1
0	32
4	27
0	106
0	321
0	161
0	408
0	409
0	30
0	217
0	433
0	161
24	157
0	66
0	142
0	407
0	167
0	126
0	382
0	401
0	47
0	23
0	15
0	376
0	24
0	68
0	67
1	46
0	50
0	299
0	4
0	42
0	312
0	110
0	96
0	281
0	249
0	248
0	5
2	1
0	187
0	277
0	222
4	94
0	101
0	213
0	66
0	51
0	160
0	194
0	22
0	11
0	0
0	0
5	0
1	6
59	28
0	22
0	0
0	384
0	384
0	289
0	98
0	104
0	50
3	30
3	24
0	0
0	16
0	17
0	17
0	14
0	17
0	5
0	4
0	4
0	0
0	0
0	343
7	343
0	342
0	342
3	3
2	2
0	0
0	623
2	739
1	599
2	430
1	1193
0	942
0	514
0	1108
0	1066
0	441
0	574
0	127
0	142
0	142
0	387
0	176
5	33
0	112
1	26
0	83
0	124
0	121
0	121
0	124
0	6
0	3
0	121
1	127
0	61
30	457
0	220
14	419
6	23
8	242
2	197
0	5
5	55
0	151
0	153
0	151
0	73
14	23
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	141
18	141
0	0
8	32
0	0
1	0
1	251
0	145
15	241
3	43
25	142
12	98
1	0
0	0
0	262
0	175
0	243
0	242
1	257
0	26
0	44
0	59
1	0
0	0
0	0
0	843
2	655
0	189
21	117
0	2
3	38
0	0
15	0
1	0
18	0
0	46
0	50
0	32
0	50
13	56
0	49
0	50
6	5
0	7
0	50
0	4
0	32
0	5
0	1
0	5
0	50
0	43
0	4
0	46
0	45
1	4
0	4
0	44
1	21
1	6
0	10
0	10
0	7
0	7
0	1
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
8	1280
0	1259
0	828
0	828
0	828
0	1145
0	1159
0	1119
0	341
3	0
0	54
0	691
0	687
2	229
1	68
0	0
0	0
0	1
4	984
0	852
0	96
0	670
0	842
0	860
0	906
0	821
0	942
0	922
6	21
0	121
0	19
0	7
0	97
0	14
0	13
0	256
4	75
2	181
0	60
0	2
1	2
58	761
0	0
1	1
0	0
0	0
0	54
0	54
22	448
0	10
0	42
0	38
0	419
0	415
0	387
0	181
1	7
0	84
0	32
0	20
3	86
5	65
0	15
0	69
7	124
0	68
3	62
1	52
0	0
0	6209
4	7026
0	7216
11	894
0	2367
9	1388
0	1979
0	908
0	8
0	85
2	0
0	3
0	3
1	3
0	0
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	1
0	0
0	0
1	9
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
3	469
0	48
2	0
0	9
0	9
1	23
0	433
0	42
0	428
0	81
0	121
0	92
0	122
0	93
0	108
0	146
0	111
0	74
0	43
0	96
0	6
0	378
1	104
0	331
0	242
0	51
2	14
2	0
0	0
0	20
0	31
2	57
0	57
0	41
21	79
0	26
0	58
1	59
0	62
0	56
0	20
0	63
0	0
0	0
0	0
478	42
0	0
0	12
5	30
0	4
0	4
0	25
0	19
0	25
0	5
0	7
0	5
4	11
0	11
2	0
0	7
0	5
0	0
10	1
0	1
2	0
0	1016
0	88
0	1316
0	387
1	8
1	1048
1	378
47	646
3	617
1	104
0	108
0	89
0	83
0	8
0	2
0	0
1	0
1	2
34	8
0	894
0	751
0	750
0	953
7	700
22	375
0	136
0	0
0	0
0	228
0	168
0	95
2	22
0	12
1	1
0	1
0	17
0	109
0	51
0	4
0	14
3	0
0	2
0	2
0	0
0	0
7	0
0	0
1	0
0	0
0	6
0	9
2	9
0	9
0	8
0	36
0	31
1	6
0	8
10	6
17	21
0	36
0	3
0	15
0	0
0	8
0	0
0	0
0	29
0	29
0	251
0	255
0	261
0	254
0	33
0	254
0	34
0	5
0	2
0	8
0	253
1	2
0	248
0	0
0	4
0	4
0	4
0	0
0	0
0	3
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	10
6	11
0	7
0	7
0	0
0	7
0	3
0	2
0	0
0	0
0	1
0	0
0	0
0	0
40	145
0	145
0	141
0	28
3	6
0	31
5	94
0	0
28	13
0	13
0	1
0	10
0	0
0	0
0	0
0	0
0	0
200	465
0	465
7	87
9	87
17	6
0	48
0	24
0	16
0	10
0	50
0	31
0	9
0	1
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	31
0	7
0	66
0	50
0	69
0	146
0	37
0	3
0	78
0	0
0	95
0	94
0	120
0	123
0	64
0	77
0	66
0	55
0	89
0	86
0	66
0	15
0	31
0	9
0	76
0	66
4	20
0	55
0	1
0	0
0	1
0	0
0	0
0	7
0	4
2	7
1	3
388	50
4	50
0	26
0	0
0	0
0	440
0	482
0	508
0	509
0	427
0	497
0	497
4	477
0	441
0	458
1	431
0	482
0	509
0	430
0	431
0	428
0	7
0	401
0	240
3	392
0	84
0	20
0	160
0	90
0	42
2	32
0	0
0	91
0	85
0	90
0	88
0	91
0	90
0	89
0	90
0	2
0	38
1	189
15	180
2	190
0	0
1	0
2	2
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	28
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1
0	1
0	0
0	10
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
